ID	Replicate	Method	Protein	DeepMito
1	1	1	atp8	95fc9170-2765-438c-bb6f-eb0c9127d757
2	1	1	atp9	8d129bf5-a85f-4a3b-8784-e528ea96c7c7
3	1	1	cox2	cd62c3bc-3c20-4e5b-9bfa-0b1b4e801cb5
4	1	1	hac1	2d97fc2f-f9bb-4811-b18d-9d9e2187b9d4
5	1	2	atp8	abfc24c2-3ead-4e15-ba90-19c95e041434
6	1	2	atp9	0ca47c02-d6ac-4a40-a665-4c6979036acc
7	1	2	cox2	19dfe9d9-862d-4f29-a140-cc2fe2a09412
8	1	2	hac1	3a3e404b-2353-43d5-8815-4690e2dc2666
9	1	3	atp8	e3a866f3-e5c6-4658-891e-91a6815a5d03
10	1	3	atp9	3f7c0f33-76f8-49ba-b0eb-5e0f8b8a23d7
11	1	3	cox2	1df37bf0-34e5-4d9f-8061-459d9a7aa3b5
12	1	3	hac1	556d14cb-4cb9-4509-8a94-4145bd78f078
13	1	4	atp8	57cc20c4-501c-4223-b611-508b91f06747
14	1	4	atp9	dd2538b4-efe1-4625-a424-cb1b01bc0d7e
15	1	4	cox2	cb6b3c7a-fa58-46da-b8b4-5feb215ec4d5
16	1	4	hac1	de05c82c-0303-4c63-aade-925e17be542a
17	1	5	atp8	d35ca707-6809-4d62-a18c-375bcf5ba84e
18	1	5	atp9	227f6499-80f3-42b5-a614-8b46a1dbfa01
19	1	5	cox2	ed16ef02-4c2b-4823-b81b-08480ee6f012
20	1	5	hac1	b5a7b042-e6f2-4269-b8fd-100e1c904a2b
21	1	6	atp8	3e05a003-46b5-49e2-b868-9867b43192b2
22	1	6	atp9	3f009940-c9d0-4a1f-be0a-994a3ffb56e9
23	1	6	cox2	1770c929-6767-4abc-b5b1-8387c67c8b93
24	1	6	hac1	d75db463-a1a1-477d-93b0-965fe344a515
25	1	7	atp8	ee1a605a-226f-40e7-9759-265da4469732
26	1	7	atp9	0d7dea25-22dc-4ae3-b5d1-64d938cd1010
27	1	7	cox2	6d0755a9-50a9-4580-b49a-626ba34c3bef
28	1	7	hac1	06868880-aaeb-42d3-9cea-78626f9291cd
29	1	8	atp8	a645028e-36ac-47a5-b145-e4ddaf4c7e04
30	1	8	atp9	92d1b277-3e70-4b67-97e4-bb03901ed70b
31	1	8	cox2	da8b94e5-d4f7-4a40-ae38-b6faaf1b6da3
32	1	8	hac1	9ed17dc7-637d-4d7a-be17-cf8c16da7662
33	1	9	atp8	10e4bb68-64a5-44c1-8e69-d0dfd33c1d6c
34	1	9	atp9	63d3aa82-24e2-4706-8b28-59ac346794e6
35	1	9	cox2	31337b37-1188-4f06-9f19-7d8be10b36a6
36	1	9	hac1	16f9ae3b-4198-4448-a9eb-8bd6ceb34912
37	2	1	atp8	5ec125b3-6f3a-4acd-8ba1-715e34b00cf5
38	2	1	atp9	a02f5587-0929-4cf8-bf99-3b5af56dc96b
39	2	1	cox2	f148f574-3f3d-4c63-8538-0bca3a63f89b
40	2	1	hac1	4057892e-c52a-43a8-b894-c82e2ae0f8f2
41	2	2	atp8	d8d5bac0-a030-456b-8edb-4ced0575a1c6
42	2	2	atp9	4c3072a0-d939-4d4d-b5c9-76ffda42ace7
43	2	2	cox2	51facd8c-469b-47b5-8d29-50db6acde9db
44	2	2	hac1	a22b721e-f3e1-4849-9b58-75850a9a887c
45	2	3	atp8	8b149f9f-0029-44fb-bea7-f6db5a6e3068
46	2	3	atp9	5c49dc00-3ad8-46ea-b003-b1ea2a5ce752
47	2	3	cox2	f0202f67-73b6-401b-8c9e-7c4aa386627a
48	2	3	hac1	19711c40-3c84-4b09-9083-940d4569b1be
49	2	4	atp8	b4fcdca6-4225-4c90-afd5-82879fe03e7e
50	2	4	atp9	cf3a804a-afce-416f-8276-ee44e3e139fa
51	2	4	cox2	60185475-90fd-4aad-ad94-18a08838eff1
52	2	4	hac1	450245f7-edbd-4533-aebf-afcacfa7ddb1
53	2	5	atp8	2d47a207-22f7-4661-b176-df8d45e56c0b
54	2	5	atp9	cea6c220-57ef-47d4-97f8-3caad99b5b52
55	2	5	cox2	84053f2f-763b-4800-b680-ecb4d574fe8c
56	2	5	hac1	ccdf9979-37c2-4380-b63b-a5577f8fc317
57	2	6	atp8	51e1a73a-6e75-4bf7-8094-003d23b6b381
58	2	6	atp9	33351efb-2b97-4f1f-a433-d543f7f691a2
59	2	6	cox2	a9cc1640-a2f2-4f52-8a9e-30e1b136e903
60	2	6	hac1	56d2611b-0541-4aa0-9245-1bc619065832
61	2	7	atp8	116edc15-173f-48ba-9875-af5b4eff9990
62	2	7	atp9	3d1febeb-51d9-4c88-bc49-c44d9b7ff21d
63	2	7	cox2	4e7b386b-960d-46df-a928-62b898d3b22d
64	2	7	hac1	40b64b4a-b6cc-44a0-b5bb-192512223f3c
65	2	8	atp8	e46a8201-47e1-4fd1-8eb1-c64669868e7b
66	2	8	atp9	12c766f9-d304-416d-b86e-93c94b42f51f
67	2	8	cox2	0cf390b8-73bd-4410-9bbb-0cffa132ef45
68	2	8	hac1	680c5154-0541-480a-82e4-c098894bc42e
69	2	9	atp8	afb78f34-0b40-4b61-a72c-26d571a17efa
70	2	9	atp9	3a7df9e5-64c4-44fd-9020-e849c0070313
71	2	9	cox2	2a972679-464c-4a32-9869-89ee5b7748f1
72	2	9	hac1	37d84dd0-98f5-42b7-bf7c-4484bb891509
73	3	1	atp8	aac50ad6-fd60-43ea-b92f-141b355ae58c
74	3	1	atp9	96ba8805-d087-4ef0-b739-38e9a75341a4
75	3	1	cox2	08926d85-2973-457f-8c50-f2b0e7069471
76	3	1	hac1	b2af97bc-d2c8-4827-a7ea-4ebf2b7336ce
77	3	2	atp8	1cac3bf3-cbe4-4bad-9498-c2bf811529f5
78	3	2	atp9	3c0c5095-46b7-4d59-bbcc-0954dde0da2d
79	3	2	cox2	76690340-8132-4f89-b026-116b340e1e0a
