ID	Replicate	Protein	MitoFates
1	1	atp8	20260624.193158.935052
2	1	atp9	20260624.193218.935154
3	1	cox2	20260624.193237.935258
4	1	hac1	20260624.193258.935384
5	1	mmf1	20260624.193316.935698
6	2	atp8	20260624.193342.937410
7	2	atp9	20260624.193400.939455
8	2	cox2	20260624.193419.942038
9	2	hac1	20260624.193439.945945
10	2	mmf1	20260624.193457.951166
11	3	atp8	20260624.193519.956509
12	3	atp9	20260624.193541.961998
13	3	cox2	20260624.193603.967034
14	3	hac1	20260624.193624.972886
15	3	mmf1	20260624.193643.978076
