ID	Replicate	Protein	MitoFates
1	1	atp8	20250115.175336.2036595
2	1	atp9	20250115.175831.2043568
3	1	cox2	20250115.180333.2051140
4	1	hac1	20250121.033616.2335721
5	2	atp8	20250115.211137.2067945
6	2	atp9	20250115.211715.2075242
7	2	cox2	20250115.225754.2084923
8	2	hac1	20250121.033957.2341843
9	3	atp8	20250117.195025.2242363
10	3	atp9	20250117.195707.2250009
11	3	cox2	20250117.200023.2256128
12	3	hac1	20250121.034234.2348599
13	1	var1	20260511.232339.12296
14	2	var1	20260511.232456.12495
15	3	var1	20260511.232531.13135
16	1	coa4	20260622.232253.723910
17	2	coa4	20260622.232419.724611
18	3	coa4	20260622.232800.745058
19	1	mmf1	20260622.232318.724044
20	2	mmf1	20260622.232727.741917
21	3	mmf1	20260622.232825.748018
