Name	Cherry	IQ-C	cox4	cox2	atp9	atp8
synMTS_4_029	++	25	++	-	-	-
synMTS_4_045	++	51	++	++	N/A	+
synMTS_4_055	++	37	++	++	N/A	-
synMTS_4_078	+	35	++	-	-	-
synMTS_4_079	++	41	++	++	N/A	-
synMTS_4_081	++	25	++	++	-	-
synMTS_4_082	++	35	++	-	N/A	++
synMTS_4_093	++	25	++	++	N/A	++
synMTS_4_098	+	37	++	-	N/A	-
synMTS_4_106	+	19	++	-	-	+
synMTS_4_122	++	24	++	++	-	-
synMTS_4_126	++	25	++	++	-	-
synMTS_4_157	++	46	++	++	N/A	++
synMTS_4_174	++	40	++	++	N/A	-
synMTS_4_196	++	34	++	-	N/A	++
synMTS_4_218	++	31	++	++	N/A	++
synMTS_4_229	++	34	++	-	N/A	-
synMTS_4_302	++	51	++	++	N/A	-
synMTS_4_308	++	18	++	++	N/A	-
synMTS_4_333	++	28	++	++	N/A	-
synMTS_4_361	++	33	++	++	N/A	+
synMTS_4_411	+	37	-	-	-	-
synMTS_4_431	++	38	++	++	N/A	++
synMTS_4_433	-	37	++	++	N/A	++
synMTS_4_472	++	26	++	++	N/A	++
synMTS_4_530	+	33	-	-	N/A	-
synMTS_4_560	++	44	++	+	++	++
synMTS_4_562	-	28	++	++	N/A	-
synMTS_7_027	-	27	++	-	N/A	+
synMTS_7_053	-	28	-	++	-	-
synMTS_7_089	++	24	++	++	-	-
synMTS_7_091	+	31	++	+	-	-
synMTS_7_106	+	36	+	++	-	-
synMTS_7_136	++	40	++	++	-	-
synMTS_7_173	++	48	++	-	-	-
synMTS_7_209	++	47	++	++	N/A	+
synMTS_7_210	++	46	++	++	N/A	-
synMTS_7_269	++	11	++	-	N/A	++
synMTS_7_304	++	42	++	++	N/A	++
synMTS_7_325	+	41	+	-	-	-
synMTS_7_364	++	45	++	++	++	++
synMTS_7_366	-	58	++	-	++	-
synMTS_7_386	++	32	++	+	N/A	++
synMTS_7_422	++	50	++	++	++	++
synMTS_7_430	++	7	++	-	N/A	+
synMTS_7_495	+	41	-	+	N/A	++
synMTS_7_527	+	42	++	-	-	+
synMTS_7_535	++	37	+	+	N/A	++
synMTS_7_547	+	34	+	-	N/A	-
synMTS_7_584	-	28	++	-	++	-
