<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_201_cox2	0.011	No mitochondrial presequence	75(MPP)	0.040	2-6,66-70	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_202_cox2	0.004	No mitochondrial presequence	85(MPP)	0.012	7-11,76-80	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_203_cox2	0.015	No mitochondrial presequence	18(MPP)	0.222	2-6	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_204_cox2	0.024	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033	67-71,87-91	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_205_cox2	0.003	No mitochondrial presequence	68(MPP)	-0.044	14-18,38-42,58-62	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_206_cox2	0.002	No mitochondrial presequence	63(MPP)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_207_cox2	0.007	No mitochondrial presequence	58(MPP)	-0.086		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_208_cox2	0.000	No mitochondrial presequence	90(MPP)	-0.033		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_209_cox2	0.042	No mitochondrial presequence	84(MPP)	0.036	33-37,44-48	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_210_cox2	0.009	No mitochondrial presequence	71(MPP)	-0.113	62-66	7-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_211_cox2	0.024	No mitochondrial presequence	62(MPP)	0.065	33-37,46-50	19-28-high	-	-	-	-	-	-	-	-	-	20-25	-	-	-	-	
synMTS_1_212_cox2	0.006	No mitochondrial presequence	21(MPP)	-0.048	12-16,48-52,53-57	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_213_cox2	0.029	No mitochondrial presequence	54(MPP)	0.019	19-23	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_214_cox2	0.009	No mitochondrial presequence	35(MPP)	0.057	17-21,29-33,47-51	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_215_cox2	0.008	No mitochondrial presequence	72(MPP)	0.042	40-44,44-48	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_216_cox2	0.001	No mitochondrial presequence	7(MPP), 15(Oct1)	-0.143		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_217_cox2	0.014	No mitochondrial presequence	9(MPP)	0.333	51-55	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_218_cox2	0.001	No mitochondrial presequence	71(MPP)	-0.127		5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_219_cox2	0.009	No mitochondrial presequence	92(MPP)	0.033	33-37	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_220_cox2	0.022	No mitochondrial presequence	8(MPP)	-0.250	1-5,69-73,82-86	1-10-high	-	-	-	-	-	-	-	-	-	10-15	-	-	-	-	
synMTS_1_221_cox2	0.006	No mitochondrial presequence	95(MPP)	0.042	31-35	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_222_cox2	0.010	No mitochondrial presequence	93(MPP)	0.000	73-77	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_223_cox2	0.002	No mitochondrial presequence	75(MPP)	-0.080	7-11	6-16-high	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
synMTS_1_224_cox2	0.005	No mitochondrial presequence	44(MPP)	0.068	23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_225_cox2	0.015	No mitochondrial presequence	84(MPP)	-0.107	13-17,29-33	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_226_cox2	0.008	No mitochondrial presequence	8(MPP)	-0.375	87-91	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_227_cox2	0.001	No mitochondrial presequence	32(MPP)	-0.125		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_228_cox2	0.011	No mitochondrial presequence	34(MPP)	0.059		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_229_cox2	0.001	No mitochondrial presequence	6(MPP)	-0.167		11-20-low	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
synMTS_1_230_cox2	0.021	No mitochondrial presequence	76(MPP)	0.039	7-11,30-34	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_231_cox2	0.015	No mitochondrial presequence	55(MPP)	0.000		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_232_cox2	0.020	No mitochondrial presequence	61(MPP)	0.033	23-27	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_233_cox2	0.029	No mitochondrial presequence	56(MPP)	-0.036	9-13	2-13-high	11-16	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_234_cox2	0.009	No mitochondrial presequence	63(MPP)	0.016		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_235_cox2	0.001	No mitochondrial presequence	71(MPP)	-0.070		2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_236_cox2	0.000	No mitochondrial presequence	62(MPP)	0.016	25-29	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
